,Run,Event,Cluster,Bizarrice,E1,px1,py1,pz1,pt1,sigma,Prob_1,pz1_pt1
28018,163589,62159310,0,4.232543116593534,0.0727465084797012,-0.5015321683144729,-0.2367288402225011,0.4600664600608222,0.17268670960803248,-1.6685426788639441,0.2568551382210545,0.863384612823005
19954,163589,2639887,0,4.232416167258816,-0.07335916821041158,-0.5171593524709324,0.5663149344456235,0.07610607103729472,0.6640097240284225,-1.653432203373248,-0.5458803891263493,0.136154324566534
23762,163589,21515204,0,4.231595979905519,0.06643377381208437,-0.6041307522371371,0.2603237006269325,0.4369541512221253,0.2568463239332519,-1.6119725001585619,0.2222595600444317,0.7726752178709941
12274,166784,19553195,0,4.220729642386962,-0.048556750420036585,-0.5574712253350088,0.5609166012810821,-0.09741020886784667,0.7038623087270252,-1.626061270900777,-0.5404841281050543,-0.0859671487501319
23145,163589,18682241,0,4.212646263616071,-0.008071839401166216,-0.556873464192412,-0.340632096511449,0.31723260754154503,0.41613230005200724,-1.69903249951599,0.3607185113786269,0.5139529450228741
10340,166701,687685423,0,4.2086629954458665,-0.005551860245910001,-0.5880652099094399,-0.4192619534235462,-0.22716761624612755,0.5932360558828188,-1.6630039636484935,0.4393181863212146,-0.2730581497683157
3061,165617,104800074,0,4.205864068152863,-0.054019656051688805,-0.5978343348684507,0.44548607718213595,0.20184178540493378,0.5537678649089686,-1.6124026916316065,-0.42509791186441587,0.3154137462406622
20980,163589,7886302,0,4.2049014872690345,-0.16419841680702854,-0.18629571356196536,0.11000921075711906,0.24236126092859586,-0.602906769964603,-1.669241740007642,0.07200276819834935,1.1578856070437318
33507,160957,133636433,0,4.2047924327843145,0.022632168916740924,-0.3728370407950106,0.08811822564376547,0.4375462758244444,-0.26800939012289854,-1.7167241238449547,0.05012018591149414,1.2488050217250055
26817,163589,42144855,0,4.203680363730913,0.15207765554763056,-0.5286534452985796,0.16578747690502943,-0.5068794986423771,0.08077138660104241,-1.6385905975532047,-0.14550667353551752,-0.985413629647532
22138,163589,13153954,0,4.2016297157386875,0.010095223439420186,-0.49106280887413445,0.3688405699712905,0.36729739097923464,0.26771109950640287,-1.699408917054904,-0.3484818249329976,0.6487318809803034
15781,166784,53043719,0,4.191622775321111,0.014194861659212523,-0.8376617982415545,-0.208357149380287,-0.2257564579785568,0.7430591629539912,-1.674242715881787,-0.24624138742092735,-0.24210924180479476
15953,166784,53608047,0,4.183226257862393,0.04754868412398156,-0.4347480162782519,-0.3280810846510322,0.42346926976785054,0.2157727238736707,-1.6137470399848712,0.3481723172079805,0.7716871219747545
1722,165617,91341464,0,4.1755853415984285,-0.006964307578832682,-0.6370076150799618,0.3365227291549964,0.31141076929830525,0.4560074961461837,-1.635633031176022,0.29842933967333685,0.4936100534907903
7005,165617,152176834,0,4.169485493383448,-0.005111208153187581,-0.775728050905262,-0.2042260940931358,0.27803784873766985,0.6239649424674436,-1.6512274720738938,0.2243648682290138,0.40682500872384125
13867,166784,34745115,0,4.1648196492780505,-0.021793037377678365,-0.6156533098810986,0.45370759878527633,-0.1977710068835475,0.5940161490301106,-1.6155753537453117,-0.4333162776470564,-0.23298691592797074
6947,165617,152652809,0,4.163842892537815,0.005867717424864673,-0.41125315689256575,0.5017829801837825,-0.28198452377323224,0.4088288192817101,-1.6715540191752576,-0.48137320537220607,-0.4011984704341967
23690,163589,21174351,0,4.1637239697854405,-0.03673783179023226,-0.6213747379602395,0.386505792198115,0.252148605176418,0.4988900078516589,-1.6054120801946292,-0.36614026638697617,0.3965146482271709
30148,160957,91474055,0,4.162019054379526,0.015237475985743213,-0.497154279565359,-0.3248429867294443,0.3697112712010976,0.3002036749457742,-1.6533784294391174,-0.3626825118311423,0.6388084246818475
8579,165617,161841441,0,4.161541388216973,-0.08083058181826724,-0.45736615932146263,0.5801512637261693,0.07344799344294248,0.6226195644308098,-1.6532708815708566,-0.559711407349685,0.1341435365567803
3888,165617,115057169,0,4.158999522912077,0.010996199593290087,-0.9442169916318836,0.18450350249638037,-0.17511899928679947,0.8920682597845112,-1.646065174397357,0.1464684653994771,-0.15956193032237764
14533,166784,40931237,0,4.1568043639898375,0.03699664026075411,-0.3566917969816339,-0.3334658881585197,0.42046110390497393,0.12287380515922586,-1.711131634695373,0.35355505376556295,0.8216284410637936
7842,165617,147895853,0,4.152067948527566,-0.013369500498047505,-0.71236536979,-0.30742580821527626,-0.20614503182510438,0.6219299168658127,-1.7243062485573681,0.3275249692735353,-0.23900110350242224
2070,165617,96003398,0,4.144454651686004,-0.01539374604899106,-0.9683323840132178,-0.23612451554075628,0.004035430572541066,1.0110268118976167,-1.6055196280628907,0.256251045508562,0.04777109004142933
26237,163589,35297662,0,4.142689922602603,-0.038293884492658234,-0.3209115228747675,-0.5749116380583158,-0.16047796213091625,0.6093466752290624,-1.6638643465945828,0.5949081250246001,-0.17997576819769975
16312,166784,57647674,0,4.1379027329709155,-0.03944862903921199,-0.4611804447075566,0.4456484330667838,0.2789584512215675,0.36027084728724257,-1.6562822218821693,-0.42526020542896614,0.4708535003374175
6592,165617,139418397,0,4.122501278800545,-0.04567087265207339,-0.6314968266415455,-0.46435179049880554,-0.09102650056401211,0.733743267977637,-1.5965393810630815,0.48439071572046843,-0.07528192368292168
25179,163589,28820920,0,4.121810936029683,0.0961286101497835,-0.4464527487466238,0.19987319290971142,-0.44991019657545556,-0.039894325877875614,-1.7230694480723645,-0.17957930578192288,-0.9869031079159459
35213,160957,155928408,0,4.119146558141585,-0.078395192127239,-0.368749493172301,-0.5147497630249132,0.15642971827670787,0.5156111348783917,-1.6761248035763578,-0.5525163926546252,0.2565700604310499
34006,160957,140420140,0,4.116783467998674,-0.013859332511832719,-0.9917703137662757,0.12833738617958895,0.12436206508760803,0.962344477227494,-1.6253622097570792,0.09032390837424129,0.18042377509455376
15555,166784,51094595,0,4.1087276885908395,0.0638331395862852,-0.777731973973777,0.13298707832047638,-0.34370594992956893,0.5433327058517174,-1.6871484600731292,-0.11271886534180145,-0.44726951551408417
21692,163589,11521427,0,4.107968154611171,0.05602140092467521,-0.4625752207069492,0.28138486677430813,0.44767722522470726,0.08947677389690739,-1.6126177873681287,-0.26105969149527697,0.8971551882202184
28846,163589,47706564,0,4.104963347816895,-0.014227198321382202,-0.31951674687537496,-0.1467115219566302,0.393050489102727,-0.2532554545110755,-1.692203209881405,-0.1846194225921215,1.1013793045761788
33888,160957,138664717,0,4.101001550737069,-0.19384997481419244,-0.18391036195484098,0.013723151389566753,0.21130713488726124,-0.6555687102556929,-1.6912890530011848,-0.024246331889075164,1.1271068325452553
28535,163589,46240857,0,4.1004829874147894,-0.0603737018529984,-0.35920808674380333,0.4861742658291644,0.2534106517740617,0.31874501931618787,-1.7155410972940814,-0.4657704824025304,0.44125968220196227
20107,163589,3904067,0,4.097094936273177,0.0704271834023811,-0.5172902906259774,0.21186497894523,0.4643496387535101,0.10057896912358198,-1.6194470770027138,-0.19156648878578525,0.9215703096339977
26025,163589,34161640,0,4.086885567388202,-0.024293344564509517,-0.6980361812574648,0.2793869874160025,0.27445052450464164,0.4973298215570751,-1.643053834086044,0.2413155294153705,0.4290193445870941
34413,160957,145722781,0,4.078159140267552,0.04886473881162123,-0.7943155759583914,0.15709241730499943,-0.3149446859431999,0.5866561397708794,-1.6453123393195286,-0.13681495152293888,-0.3941582916359924
8332,165617,157794037,0,4.073522125379994,0.03802154981570218,-0.3628174254524355,-0.36771396004784956,-0.3558142497353865,0.1983280321885803,-1.731027990323692,-0.40553702918154305,-0.6142618886348047
2807,165617,103746765,0,4.07258238686229,0.07376748364096425,-0.7527057074703905,0.101327680814143,-0.36645088219018457,0.48286983408770995,-1.713282592060597,-0.08107162025450775,-0.5011065863437933
26699,163589,38158295,0,4.063224514245496,-0.016782587019803598,-0.5373409072376533,-0.33216253119565214,0.3119337406623973,0.3727184205505507,-1.6208989732242403,0.3522521970945903,0.5191351572606083
31216,160957,104377126,0,4.063199696282018,-0.020374688454228164,-0.9896126806896642,0.13282472243582852,0.09166554963838096,0.9595180527807848,-1.6300943159605712,0.09480952217222664,0.14430016415033392
26201,163589,35918573,0,4.058630734235115,0.05452829852120957,-0.38646599484621796,-0.23882593706586935,0.45488861134857184,-0.007164330784980623,-1.6682200352591607,0.25895143009649485,0.9895860963126106
25183,163589,28397373,0,4.051948127768832,-0.07219655487648774,-0.5680032073712383,0.544063158477497,0.009154931240037358,0.6855923011034954,-1.5999809128474398,-0.5236371544738269,0.04931990737881023
32116,160957,115597417,0,4.0439014060880405,-0.08314793969874487,-0.2651261758623279,0.22607111885191802,0.3145356312506901,-0.34000407362948065,-1.6293952548168733,-0.20576717568392983,0.9798540362940761
20555,163589,5918541,0,4.039202053339567,0.02695410037973694,-0.3860504085280316,-0.016889952637924813,0.44118114290875377,-0.24764782840880403,-1.6545614559899904,0.0371006355109095,1.2288165289754165
17894,166784,69039222,0,4.036653516532969,0.04599656581524059,-0.656130278679797,-0.21721907475064953,-0.3376939402812048,0.4175115951820015,-1.6238565396014226,-0.2550999111526271,-0.4831456110700252
13307,166784,27017513,0,4.03649046017003,-0.08639578168573003,-0.36220827838331304,0.5266820590488063,0.17861061943803413,0.40839920276581027,-1.6639181205287132,-0.5062627267578113,0.3040136715618115
7274,165617,176239352,0,4.030972079867181,-0.018051428983222984,-1.0009758353622664,-0.0354751915444205,0.0933036169688842,0.9716377608082746,-1.7101637038810225,0.055678740497339306,0.14568580182175017
